Column1,loan_amnt,int_rate,emp_length,home_ownership,annual_inc,loan_status,grade,dti,delinq_2yrs,fico_range_low,fico_range_high,fico_avg,purpose,tot_cur_bal,tot_hi_cred_lim,revol_util
0,20000,17.93,1 year,MORTGAGE,44304,0,E,18.47,0,690,694,692,debt_consolidation,,,97.8
1,30000,11.99,10+ years,MORTGAGE,136000,1,C,20.63,3,670,674,672,debt_consolidation,69594,116075,40.7
4,5000,8.49,10+ years,MORTGAGE,88000,1,B,5.32,0,660,664,662,debt_consolidation,77053,104310,92.6
5,16150,30.74,10+ years,RENT,38500,0,F,33.73,0,660,664,662,debt_consolidation,46857,64635,55.8
6,18400,14.08,8 years,RENT,40000,1,C,19.11,0,680,684,682,debt_consolidation,21706,49719,39.2
7,17350,12.39,9 years,MORTGAGE,55000,1,C,32.4,0,775,779,777,debt_consolidation,159069,194914,18
10,21000,9.99,10+ years,MORTGAGE,84500,1,B,27.32,0,720,724,722,debt_consolidation,165010,219327,40.4
14,12000,9.93,10+ years,RENT,140000,1,B,15.93,1,660,664,662,credit_card,86855,97870,92
15,20000,15.31,10+ years,MORTGAGE,54000,0,C,19,0,660,664,662,debt_consolidation,32516,43522,93.7
16,20000,18.99,10+ years,RENT,50000,1,D,32.45,0,680,684,682,debt_consolidation,150777,155551,28.7
18,5600,7.35,< 1 year,OWN,95000,1,A,9.84,0,730,734,732,vacation,257651,312116,10.9
20,16000,19.19,10+ years,MORTGAGE,63000,1,E,15.28,0,690,694,692,house,28497,34650,44
21,6000,8.39,9 years,MORTGAGE,98000,1,B,25.92,0,730,734,732,debt_consolidation,232459,264264,77.6
22,8000,8.49,5 years,RENT,85000,1,B,4.69,0,670,674,672,credit_card,8566,20872,42
24,10050,7.07,2 years,MORTGAGE,69000,1,A,33.46,0,685,689,687,credit_card,243411,280236,65
26,35000,12.74,2 years,MORTGAGE,122000,1,C,28.05,1,660,664,662,debt_consolidation,406063,483728,50.2
28,24000,19.99,10+ years,MORTGAGE,67000,1,D,6.05,0,660,664,662,debt_consolidation,411993,425333,65
31,21125,13.99,,OWN,60000,0,C,33.98,0,695,699,697,debt_consolidation,52559,58500,89.8
32,15000,13.49,10+ years,RENT,38000,1,C,10.8,0,690,694,692,debt_consolidation,11776,18000,65.4
34,12000,11.39,10+ years,MORTGAGE,49000,1,B,8.4,0,670,674,672,debt_consolidation,13882,27500,50.5
36,20000,11.44,7 years,MORTGAGE,450000,1,B,6.2,0,790,794,792,other,338338,515530,12.3
38,40000,13.49,3 years,MORTGAGE,109000,1,C,15.14,0,720,724,722,debt_consolidation,237166,317115,77.5
39,40000,14.08,3 years,OWN,116723,1,C,15.64,0,785,789,787,major_purchase,19228,105000,0.3
40,6800,18.25,2 years,RENT,39354,0,D,10.85,0,685,689,687,debt_consolidation,14514,38000,30.3
41,12000,10.49,< 1 year,RENT,62500,1,B,26.67,1,680,684,682,credit_card,129533,102819,57.3
43,7975,15.61,9 years,MORTGAGE,72520,0,C,20.5,1,665,669,667,debt_consolidation,209882,214997,60
44,35000,18.25,10+ years,MORTGAGE,120000,0,D,27.31,0,665,669,667,debt_consolidation,371881,426234,64.1
48,10000,16.99,10+ years,MORTGAGE,100000,1,D,5.76,0,690,694,692,home_improvement,330559,359329,8.7
50,25000,15.41,10+ years,RENT,89000,0,D,0.38,0,750,754,752,home_improvement,640,51800,1.2
51,11600,16.29,1 year,RENT,29000,1,D,35.84,0,690,694,692,debt_consolidation,28480,47601,55.8
52,9525,14.65,1 year,MORTGAGE,50000,1,C,27.2,0,710,714,712,debt_consolidation,249254,264895,95.6
53,5500,8.24,5 years,RENT,61000,1,B,12.75,0,665,669,667,debt_consolidation,82238,99627,25.2
54,35000,28.34,10+ years,MORTGAGE,135410,0,G,39.37,0,695,699,697,debt_consolidation,218092,281109,75
56,20000,9.93,6 years,MORTGAGE,150000,1,B,4.48,0,670,674,672,debt_consolidation,476542,498753,74.6
58,10000,15.99,10+ years,MORTGAGE,55000,1,C,3.56,0,755,759,757,other,4404,6164,42.8
61,20400,14.65,10+ years,MORTGAGE,54000,0,C,15.96,0,705,709,707,debt_consolidation,108657,141295,47.5
62,4200,13.99,,MORTGAGE,19200,0,C,20.38,6,675,679,677,debt_consolidation,6621,26800,15.5
63,25000,10.49,10+ years,MORTGAGE,125000,1,B,16.68,0,720,724,722,debt_consolidation,526839,617213,56.5
64,10000,13.99,10+ years,MORTGAGE,82000,1,C,19.41,0,695,699,697,debt_consolidation,88767,154305,42.7
65,20000,22.91,10+ years,RENT,102768,1,E,24.68,0,665,669,667,debt_consolidation,69900,86239,81
66,30000,9.99,10+ years,RENT,140000,1,B,12.83,0,735,739,737,debt_consolidation,47438,86550,20.7
67,7000,8.99,10+ years,RENT,46000,1,B,13.62,0,665,669,667,debt_consolidation,21579,32800,65.8
68,10575,16.55,2 years,RENT,65000,1,D,20.81,0,715,719,717,debt_consolidation,70195,84154,53.2
69,22000,20.99,2 years,MORTGAGE,55000,1,E,33.43,0,660,664,662,credit_card,95507,106271,66.6
