Column1,loan_amnt,int_rate,emp_length,home_ownership,annual_inc,loan_status,dti,delinq_2yrs,fico_range_low,fico_range_high,fico_avg,purpose,tot_cur_bal,tot_hi_cred_lim,revol_util,grade
0,20000,17.93,1 year,MORTGAGE,44304,Charged Off,18.47,0,690,694,692,debt_consolidation,,,97.8,E
2,21500,11.99,1 year,RENT,50000,Fully Paid,29.62,0,735,739,737,debt_consolidation,74939,116920,36.2,B
3,10000,13.67,,RENT,64400,Fully Paid,16.68,3,675,679,677,debt_consolidation,16824,39547,57.5,C
5,16150,30.74,10+ years,RENT,38500,Charged Off,33.73,0,660,664,662,debt_consolidation,46857,64635,55.8,F
8,35000,12.79,9 years,MORTGAGE,118000,Fully Paid,26.66,0,665,669,667,credit_card,558176,625456,74.1,C
9,9325,10.16,5 years,MORTGAGE,43000,Fully Paid,20.68,0,725,729,727,small_business,,,97.6,B
11,10000,11.99,3 years,RENT,76000,Fully Paid,17.31,0,685,689,687,debt_consolidation,82058,115685,41,B
12,10000,11.67,3 years,RENT,75000,Fully Paid,22.34,0,700,704,702,medical,80611,98560,77.3,B
13,20000,11.99,9 years,MORTGAGE,156000,Fully Paid,13.28,0,735,739,737,credit_card,270444,322751,37.8,B
15,20000,15.31,10+ years,MORTGAGE,54000,Charged Off,19,0,660,664,662,debt_consolidation,32516,43522,93.7,C
17,20400,18.55,4 years,RENT,55000,Fully Paid,22,0,665,669,667,other,87186,96962,74.8,E
19,12500,15.31,7 years,RENT,37200,Fully Paid,17.06,0,705,709,707,debt_consolidation,8003,15367,65.2,C
25,28000,9.99,10+ years,MORTGAGE,100000,Fully Paid,19.24,0,685,689,687,debt_consolidation,74876,132923,10.8,B
27,19200,13.66,< 1 year,RENT,73000,Fully Paid,21.44,0,660,664,662,credit_card,58321,69000,82,C
29,25000,10.99,8 years,MORTGAGE,80000,Fully Paid,15.68,1,725,729,727,debt_consolidation,268306,321784,23.9,B
30,8000,9.17,3 years,RENT,48000,Fully Paid,5.69,0,665,669,667,credit_card,8347,17900,46.6,B
31,21125,13.99,,OWN,60000,Charged Off,33.98,0,695,699,697,debt_consolidation,52559,58500,89.8,C
33,6000,14.46,3 years,RENT,33000,Fully Paid,20.76,3,680,684,682,debt_consolidation,118428,102292,39.6,C
35,5800,12.99,5 years,RENT,106000,Fully Paid,6.23,0,670,674,672,credit_card,22985,26683,86.1,B
37,15000,10.75,10+ years,RENT,56000,Fully Paid,14.36,0,710,714,712,vacation,32110,43557,42.1,B
40,6800,18.25,2 years,RENT,39354,Charged Off,10.85,0,685,689,687,debt_consolidation,14514,38000,30.3,D
42,35700,26.24,10+ years,MORTGAGE,71400,Fully Paid,19.38,1,725,729,727,debt_consolidation,169904,222683,34.6,E
43,7975,15.61,9 years,MORTGAGE,72520,Charged Off,20.5,1,665,669,667,debt_consolidation,209882,214997,60,C
44,35000,18.25,10+ years,MORTGAGE,120000,Charged Off,27.31,0,665,669,667,debt_consolidation,371881,426234,64.1,D
45,8875,6.62,6 years,MORTGAGE,102000,Fully Paid,16.14,0,800,804,802,debt_consolidation,640108,673301,5.1,A
46,35000,14.49,6 years,MORTGAGE,91750,Fully Paid,11.1,0,695,699,697,home_improvement,365121,387264,57.2,C
49,24000,12.99,5 years,MORTGAGE,109000,Fully Paid,17.89,0,705,709,707,debt_consolidation,83949,140670,75,B
50,25000,15.41,10+ years,RENT,89000,Charged Off,0.38,0,750,754,752,home_improvement,640,51800,1.2,D
54,35000,28.34,10+ years,MORTGAGE,135410,Charged Off,39.37,0,695,699,697,debt_consolidation,218092,281109,75,G
55,5600,13.53,5 years,RENT,47000,Fully Paid,20.82,0,680,684,682,credit_card,18458,30314,60.9,B
57,5000,15.31,5 years,RENT,23000,Fully Paid,10.28,0,660,664,662,wedding,,,38.3,C
60,6000,11.14,< 1 year,MORTGAGE,19404,Fully Paid,13.17,0,730,734,732,debt_consolidation,,,28.1,B
61,20400,14.65,10+ years,MORTGAGE,54000,Charged Off,15.96,0,705,709,707,debt_consolidation,108657,141295,47.5,C
62,4200,13.99,,MORTGAGE,19200,Charged Off,20.38,6,675,679,677,debt_consolidation,6621,26800,15.5,C
71,35000,11.44,10+ years,MORTGAGE,125000,Fully Paid,32.63,0,685,689,687,credit_card,169351,281807,81.9,B
72,13000,9.99,< 1 year,RENT,45000,Fully Paid,7.87,0,695,699,697,credit_card,57953,62140,68.4,B
74,20000,9.17,10+ years,OWN,60000,Charged Off,18.58,0,705,709,707,home_improvement,184527,231319,42.8,B
75,7175,19.19,7 years,RENT,33312,Fully Paid,29.86,0,660,664,662,debt_consolidation,36954,42526,61.2,E
78,15950,11.99,10+ years,RENT,38000,Charged Off,18.26,0,705,709,707,debt_consolidation,41190,53063,54.3,C
79,8400,7.29,2 years,RENT,49872,Fully Paid,14.56,0,720,724,722,wedding,,,33.8,A
80,5000,13.98,6 years,OWN,90000,Charged Off,16.07,0,705,709,707,vacation,219054,245590,41.8,C
82,10000,7.9,9 years,RENT,51000,Fully Paid,27.31,0,730,734,732,debt_consolidation,38188,58400,54.6,A
83,5000,12.69,3 years,MORTGAGE,80000,Fully Paid,12.95,2,665,669,667,home_improvement,96710,120036,28.6,C
84,18000,13.99,< 1 year,OWN,40000,Fully Paid,25.14,0,685,689,687,debt_consolidation,174049,200806,55.8,C
85,10000,7.9,10+ years,MORTGAGE,120000,Fully Paid,7.56,0,705,709,707,debt_consolidation,439569,476600,38.3,A
88,8000,17.77,6 years,MORTGAGE,46000,Fully Paid,2.53,0,680,684,682,debt_consolidation,89756,98950,19.9,D
89,16000,16.32,8 years,MORTGAGE,70000,Fully Paid,11.95,0,665,669,667,debt_consolidation,,,59.5,D
90,3525,22.35,10+ years,MORTGAGE,48000,Charged Off,21.38,1,740,744,742,other,283110,339191,40.4,E
91,12000,14.49,< 1 year,RENT,48000,Charged Off,22.45,0,670,674,672,credit_card,41970,54969,69.4,C
92,24000,14.85,1 year,RENT,135000,Fully Paid,14.59,1,680,684,682,credit_card,189786,237080,92.3,C
94,24000,11.67,6 years,MORTGAGE,115000,Fully Paid,14.84,0,690,694,692,debt_consolidation,330321,338566,86.7,B
95,11325,22.4,10+ years,MORTGAGE,50000,Charged Off,20.23,0,685,689,687,debt_consolidation,86376,107087,65,E
98,20000,16.29,2 years,RENT,66500,Fully Paid,18.26,0,670,674,672,credit_card,21176,46306,74.4,C
99,12000,15.59,10+ years,RENT,44000,Fully Paid,33.39,0,680,684,682,debt_consolidation,27373,45898,53.2,C
100,12000,13.98,5 years,OWN,60000,Fully Paid,5.16,0,715,719,717,credit_card,17753,59750,26.6,C
102,26125,25.57,10+ years,RENT,74000,Charged Off,19.61,1,685,689,687,debt_consolidation,35448,57840,32.9,F
103,9600,10.99,6 years,RENT,50000,Fully Paid,28.67,0,660,664,662,credit_card,43873,65275,53.5,B
104,24000,9.99,10+ years,OWN,82744,Fully Paid,18.1,0,730,734,732,credit_card,28236,57975,74,B
107,15000,13.67,10+ years,MORTGAGE,66000,Fully Paid,22.33,0,665,669,667,credit_card,244109,266227,57.6,C
109,8000,11.14,3 years,RENT,25000,Fully Paid,29.47,0,680,684,682,credit_card,41386,53648,59.7,B
110,6000,6.92,10+ years,MORTGAGE,70000,Fully Paid,17.48,1,690,694,692,credit_card,197157,225145,98.7,A
112,12000,8.49,10+ years,RENT,43000,Fully Paid,30.34,0,715,719,717,credit_card,35458,65194,59.7,B
113,25000,25.57,5 years,MORTGAGE,68000,Charged Off,34.06,0,680,684,682,debt_consolidation,104882,130051,53.8,F
114,16000,15.99,,MORTGAGE,7000,Fully Paid,244.6,0,690,694,692,debt_consolidation,209929,248931,50.8,C
115,13700,9.99,10+ years,MORTGAGE,45000,Fully Paid,30.77,0,710,714,712,debt_consolidation,171480,198680,52,B
118,3250,10.16,10+ years,RENT,30000,Fully Paid,12.64,0,725,729,727,credit_card,8126,19563,47.4,B
122,10000,12.99,10+ years,MORTGAGE,62000,Charged Off,20.62,1,680,684,682,debt_consolidation,112422,137572,62,B
123,8400,9.75,3 years,MORTGAGE,59000,Fully Paid,13.2,0,665,669,667,credit_card,332347,342600,88.4,B
124,9425,16.99,8 years,RENT,42000,Fully Paid,18.71,0,680,684,682,debt_consolidation,14598,32091,47.1,D
126,11200,13.49,10+ years,RENT,86000,Fully Paid,20.23,0,665,669,667,debt_consolidation,48625,87208,51.2,C
133,14825,20.49,10+ years,MORTGAGE,52000,Charged Off,11.82,0,715,719,717,debt_consolidation,220186,273111,39.1,E
142,1525,7.49,< 1 year,RENT,35000,Fully Paid,11.42,0,725,729,727,credit_card,13401,21432,34.9,A
147,13600,14.08,< 1 year,RENT,98000,Fully Paid,24.44,1,680,684,682,credit_card,81914,107292,33.4,C
149,2000,10.99,5 years,MORTGAGE,103000,Fully Paid,10.35,2,670,674,672,debt_consolidation,467392,561370,85.6,B
150,5000,14.99,4 years,MORTGAGE,130000,Charged Off,9.23,0,710,714,712,vacation,280737,305345,52.7,C
151,16000,11.99,2 years,OWN,60000,Fully Paid,19.63,0,720,724,722,credit_card,140885,191217,44.8,B
153,5000,14.31,< 1 year,RENT,21000,Fully Paid,8.34,0,685,689,687,debt_consolidation,28288,31934,44.8,C
155,35000,10.64,10+ years,MORTGAGE,80000,Fully Paid,4.26,1,740,744,742,debt_consolidation,161439,209800,24.8,B
156,10000,15.31,,RENT,61992,Charged Off,15.91,3,660,664,662,credit_card,27517,56703,27.8,C
157,21000,21,10+ years,MORTGAGE,150000,Fully Paid,17.53,1,710,714,712,debt_consolidation,206990,277178,65.2,E
158,7000,14.33,3 years,MORTGAGE,53674.45,Fully Paid,11.47,0,660,664,662,debt_consolidation,84742,88277,91.3,C
160,15200,12.12,10+ years,MORTGAGE,60000,Fully Paid,27.14,0,670,674,672,debt_consolidation,304422,331314,57,B
162,24000,7.26,10+ years,MORTGAGE,123528,Fully Paid,5.61,0,815,819,817,home_improvement,196971,247281,5.4,A
164,25000,12.29,5 years,OWN,95000,Fully Paid,9.55,1,670,674,672,home_improvement,16197,112542,10.2,C
165,1500,7.51,6 years,RENT,29004,Fully Paid,9.76,0,725,729,727,home_improvement,,,52.4,A
167,3000,8.67,< 1 year,RENT,60000,Charged Off,16.66,0,675,679,677,debt_consolidation,29551,35670,55.6,B
170,7000,14.65,10+ years,MORTGAGE,57000,Fully Paid,15.43,4,670,674,672,debt_consolidation,261195,307600,46.8,C
173,4800,12.99,2 years,OWN,20500,Fully Paid,17.68,0,660,664,662,debt_consolidation,10436,18324,56.7,C
176,21000,12.99,10+ years,MORTGAGE,84000,Fully Paid,17.6,0,690,694,692,credit_card,244866,310465,39.6,C
177,3700,15.61,4 years,MORTGAGE,20800,Fully Paid,34.16,1,685,689,687,debt_consolidation,12210,32572,39,D
178,20000,16.99,< 1 year,RENT,104000,Fully Paid,18.66,1,700,704,702,debt_consolidation,56652,79947,51.7,D
179,6500,14.49,7 years,RENT,49000,Fully Paid,22.7,0,680,684,682,other,48447,53539,53,C
180,24000,14.85,4 years,MORTGAGE,125000,Fully Paid,4.1,0,665,669,667,debt_consolidation,26090,34440,33.5,C
181,8400,10.15,2 years,MORTGAGE,45000,Fully Paid,17.25,0,670,674,672,debt_consolidation,76718,75834,77.5,B
182,35000,9.99,3 years,MORTGAGE,137500,Charged Off,29.14,0,730,734,732,credit_card,299489,451010,36.6,B
185,18000,10.99,10+ years,OWN,70000,Fully Paid,38.92,0,680,684,682,credit_card,68483,115918,40.6,B
186,35000,21,10+ years,MORTGAGE,115000,Charged Off,11.58,0,685,689,687,debt_consolidation,326814,358392,73.7,E
187,20000,9.99,2 years,OWN,125000,Fully Paid,16.39,0,670,674,672,debt_consolidation,364987,393892,72.8,B
193,20050,13.66,,RENT,49000,Charged Off,25.96,0,680,684,682,debt_consolidation,211536,189718,43.7,C
195,9000,7.62,2 years,OWN,78000,Fully Paid,17.83,0,725,729,727,car,,,74.4,A
196,5950,17.57,10+ years,MORTGAGE,60000,Fully Paid,11.7,0,665,669,667,debt_consolidation,142266,169416,2.2,D
197,14000,14.99,10+ years,MORTGAGE,170000,Charged Off,13.77,0,675,679,677,debt_consolidation,357632,399175,77.7,C
200,6025,16.99,6 years,MORTGAGE,20340,Fully Paid,21.47,1,670,674,672,debt_consolidation,43321,82220,71.8,D
201,2000,17.99,1 year,RENT,28500,Fully Paid,4.34,0,685,689,687,debt_consolidation,2869,4900,58.6,D
204,15000,15.61,4 years,OWN,137000,Fully Paid,4.2,0,675,679,677,debt_consolidation,23290,39000,59.7,C
207,5000,13.33,9 years,MORTGAGE,45000,Fully Paid,3.09,0,680,684,682,other,61183,76187,45.3,C
208,21000,12.12,4 years,MORTGAGE,80000,Fully Paid,16.61,1,675,679,677,debt_consolidation,287730,340350,69.7,B
218,20175,7.49,< 1 year,MORTGAGE,92500,Fully Paid,10.15,0,745,749,747,debt_consolidation,677795,782564,1.2,A
219,30000,13.33,10+ years,MORTGAGE,90000,Fully Paid,22.89,0,670,674,672,debt_consolidation,233375,267296,62.8,C
224,8000,15.59,10+ years,RENT,33000,Charged Off,31.82,0,665,669,667,debt_consolidation,24395,35780,66,C
225,25000,12.69,10+ years,MORTGAGE,62000,Fully Paid,13.8,0,665,669,667,debt_consolidation,105479,116038,73,C
227,9500,7.9,9 years,OWN,59517,Fully Paid,13.77,1,665,669,667,credit_card,14835,40678,68.2,A
229,20000,7.89,7 years,MORTGAGE,109000,Fully Paid,12.8,0,705,709,707,debt_consolidation,167133,224914,23,A
237,18000,11.49,,OWN,70000,Fully Paid,17.47,0,680,684,682,debt_consolidation,31375,55102,85.7,B
238,23650,25.69,10+ years,OWN,49300,Fully Paid,23.32,0,690,694,692,debt_consolidation,131252,155587,46.4,F
239,16500,17.86,5 years,OWN,75000,Charged Off,21.04,0,665,669,667,debt_consolidation,46735,66876,67,D
241,7000,5.32,,OWN,110000,Fully Paid,13.14,0,810,814,812,major_purchase,237508,342121,8.3,A
247,9800,7.12,2 years,MORTGAGE,195000,Fully Paid,16.18,1,720,724,722,home_improvement,880932,1010002,49.3,A
251,15000,13.11,3 years,MORTGAGE,85000,Charged Off,12.45,0,720,724,722,credit_card,,,67.4,B
253,2800,13.65,7 years,MORTGAGE,34000,Fully Paid,28.8,0,665,669,667,debt_consolidation,129711,137237,80.9,C
254,8000,7.9,2 years,MORTGAGE,33020,Fully Paid,23.31,0,720,724,722,credit_card,160192,175198,67.9,A
256,26675,24.99,3 years,RENT,58000,Fully Paid,6.7,0,735,739,737,major_purchase,8778,54364,1,F
258,10000,5.32,10+ years,RENT,56000,Fully Paid,15,0,770,774,772,debt_consolidation,15043,67466,18.5,A
261,2000,11.44,7 years,RENT,42000,Charged Off,12.37,0,675,679,677,debt_consolidation,9209,30622,7.7,B
262,10000,7.9,10+ years,RENT,64000,Fully Paid,18.47,1,735,739,737,credit_card,24498,100018,26.3,A
269,10000,6.03,2 years,MORTGAGE,103000,Fully Paid,12.68,0,755,759,757,debt_consolidation,245518,313259,31.5,A
270,10000,7.9,< 1 year,MORTGAGE,187000,Fully Paid,11.13,0,765,769,767,small_business,,,25,A
274,8000,10.16,10+ years,MORTGAGE,65000,Fully Paid,30.25,0,705,709,707,credit_card,60744,99543,51.9,B
277,15000,9.17,5 years,RENT,150000,Charged Off,9.91,1,660,664,662,credit_card,35232,67687,69.3,B
278,6000,12.74,,MORTGAGE,38000,Fully Paid,24.86,0,690,694,692,credit_card,24495,50047,42.4,C
279,10225,19.24,6 years,MORTGAGE,20582.4,Fully Paid,10.96,0,685,689,687,debt_consolidation,73555,85558,53.5,E
281,32500,25.88,< 1 year,MORTGAGE,65000,Fully Paid,15.12,0,670,674,672,debt_consolidation,158377,176406,79.8,F
